,gene,logFC,AveExpr,P.Value,FDR
FCGBP,FCGBP,-0.655538370087066,8.89725636853881,2.48592182437051e-16,8.45213420285972e-15
C1orf106,C1orf106,0.65090844608764,6.98530094557305,1.76668096637947e-21,1.02459373378899e-19
NTN4,NTN4,-0.645030848170446,8.19978378933095,4.56689768748455e-25,3.44951182215151e-23
CFB,CFB,-0.640723941050319,10.4339749138194,3.11340418524167e-15,9.27331296166197e-14
CYBRD1,CYBRD1,-0.640613606169196,9.7567251233859,4.28796861102625e-30,4.98510931423826e-28
AURKA,AURKA,0.640258789940908,7.69205822357331,2.83037578566499e-52,8.40055533185368e-50
LOC338579,LOC338579,-0.632112098785168,6.85375539020536,6.00449829759161e-13,1.29360788259301e-11
MRPL13,MRPL13,0.631938898360052,8.90700585539399,4.96420025278419e-93,5.9636592370114e-90
S100P,S100P,0.62898800631783,9.34278960357955,3.12071231913192e-08,3.21082097826509e-07
RPL8,RPL8,0.625833663923216,7.3994891760669,9.80907148141844e-64,4.05677467759384e-61
NDRG1,NDRG1,0.623997366209088,8.61773433586204,3.89304725159773e-42,8.05031115273013e-40
TOP2A,TOP2A,0.623067419908905,8.76644060330112,2.41344863021978e-31,3.02917821110372e-29
RAD21,RAD21,0.621230283860913,7.6182072089966,2.56172613751533e-42,5.43085941153249e-40
YWHAZ,YWHAZ,0.615436226185037,11.997255885163,3.65426140249254e-98,6.58497904729156e-95
C8orf55,C8orf55,0.612927161616071,9.33171426289935,2.20233272925943e-67,1.08942059007366e-64
CBX2,CBX2,0.611003204568167,7.50427437057375,3.67840680844014e-22,2.23611679429706e-20
PUF60,PUF60,0.610852080700757,10.5828095151107,2.49526625441919e-100,5.72277973331704e-97
FAM84B,FAM84B,0.607160545139639,9.50423424000046,1.93324894603763e-59,7.17235358979962e-57
C9orf152,C9orf152,-0.605986541960081,8.66555438667848,3.95099382805011e-20,2.01364994533431e-18
NSMCE2,NSMCE2,0.601834652740029,8.01026832784815,1.10416785548782e-137,2.78559466582466e-133
MUC1,MUC1,-0.595246001291193,10.9791659035268,2.14325501574691e-13,4.97560985112044e-12
PDZK1,PDZK1,-0.594596838585291,6.81321484757681,1.87418306954227e-14,5.06230090775292e-13
TIGD5,TIGD5,0.591972810099256,8.2953881834585,1.08679581848477e-101,3.04640943430375e-98
PITX1,PITX1,0.589988034055571,9.18555135157505,1.69499614177746e-13,4.01892506247761e-12
EIF2C2,EIF2C2,0.586099623522561,9.05420009717747,1.38661074439116e-43,3.06854525083334e-41
EXOSC4,EXOSC4,0.584680707848183,7.83930784294939,1.28438873642591e-106,4.05031988031912e-103
CCNE2,CCNE2,0.583442255391844,6.6812934273525,4.85369909462365e-66,2.26757631035491e-63
CGNL1,CGNL1,-0.582003329078944,9.06297074410058,3.10755207779279e-30,3.62950573234058e-28
TRMT12,TRMT12,0.577002978941165,8.16743168624834,5.56420020159671e-126,3.50934106714704e-122
LOC441376,LOC441376,0.576557694207695,6.75806137851231,5.1547262230206e-21,2.87706710518504e-19
MCM4,MCM4,0.576137277239407,8.52689595705962,3.15701786439491e-55,1.03435385302539e-52
TRIP13,TRIP13,0.574889876748292,7.12562449750286,5.82173853949492e-44,1.2997417687998e-41
ENY2,ENY2,0.57487010570091,10.3055525826982,5.1464783473042e-82,3.3291116857895e-79
AZGP1,AZGP1,-0.574483814458089,10.1192032468463,1.92041272758444e-14,5.17608678327993e-13
C8orf33,C8orf33,0.573826037411466,7.75542494642352,1.6835752318081e-95,2.23543347095025e-92
COL4A5,COL4A5,-0.573591532562926,8.6944001748829,1.5034692812778e-24,1.08680581742339e-22
DERL1,DERL1,0.573569072567933,8.66752881700103,2.06381843108577e-135,1.73553371264773e-131
PLAT,PLAT,-0.571368820902614,8.76669117745276,1.44854111547198e-17,5.66570469164763e-16
LOC389033,LOC389033,-0.571329906508763,6.42209550530445,4.18219129320907e-21,2.35509647198836e-19
C8orf76,C8orf76,0.571212294166796,9.21720330392007,5.04728089385689e-137,6.36664011951108e-133
CYC1,CYC1,0.568570933499789,10.7373520096843,1.1558145332209e-98,2.24299146493054e-95
C8orf38,C8orf38,0.568539848643663,7.95972130481823,4.61437558729905e-67,2.19644277955435e-64
SCRIB,SCRIB,0.566295376680482,8.88307603355052,4.08264040380558e-78,2.45230600255255e-75
PTTG1,PTTG1,0.562781323121031,9.03861322185894,1.2679365696031e-33,1.91541938790102e-31
CYP4Z1,CYP4Z1,-0.55973943091544,7.54800591400042,1.97025355269866e-08,2.09198470654385e-07
MTERFD1,MTERFD1,0.558158605315039,8.7077911597233,3.70591217226956e-112,1.86985504564033e-108
CAPS,CAPS,0.555347812208713,7.79471779114879,1.62765211367587e-31,2.09502079203137e-29
AGTR1,AGTR1,-0.554912160529486,6.66801651217727,1.92631530479092e-13,4.5333099355658e-12
RRS1,RRS1,0.554855443372516,7.67002992824295,1.39819578392824e-90,1.41094732947766e-87
KIAA0196,KIAA0196,0.554711888578491,9.05900635987291,2.06823849348361e-83,1.41020326252985e-80
CX3CR1,CX3CR1,-0.554329489827885,7.46339788135949,9.12988372400987e-24,6.22510017808975e-22
