,gene,logFC,logCPM,LR,PValue,FDR
35,ETV4,2.99113671964535,5.71152961991455,89.6301512738489,2.87114936329754e-21,2.56639736659324e-18
36,NEB,-2.96500792476579,4.93205613071799,54.231350403282,1.78220617822394e-13,4.1300977989434e-11
37,UTS2B,2.74505945516531,0.936665524152721,121.365295702882,3.17867528524212e-28,4.97224281493999e-25
38,CHGB,2.70675089780997,3.92330264728743,153.365690193323,3.18678273528275e-35,9.9698497873321e-32
39,MYH3,-2.69970819246473,5.23416353927972,47.6029236241831,5.21905906409969e-12,7.96479330831018e-10
40,MYOZ1,-2.50342465407244,2.12819155736752,50.0325236065298,1.51218632415895e-12,2.70335709436073e-10
41,KRT13,-2.34656732092376,4.2386797243192,31.0927801395534,2.45984640849756e-08,1.23130071823754e-06
42,ACY3,2.27335321766851,2.08085873682908,58.9977454723497,1.57852726164434e-14,4.93842253805431e-12
43,CEL,2.19841255441966,1.51450265372929,96.8217568990074,7.58579353700807e-23,7.91071836017658e-20
44,DDN,-2.17589104306367,0.563871553389364,26.0632204341877,3.30418584758838e-07,1.06568509527631e-05
45,ATP12A,2.10827118808741,2.79587516113557,44.9441270634089,2.02737342591058e-11,2.5370551051845e-09
46,SDR16C5,2.10464254548149,0.176661701384647,59.2121379068443,1.41557974684082e-14,4.66172761893842e-12
47,VSTM2A,-2.06392124290547,3.55846748985076,26.4102168795212,2.76076322791755e-07,9.13973307782015e-06
48,WFDC12,2.04002441333061,1.0756843158375,40.8590338607271,1.63615171221398e-10,1.57498480974198e-08
49,GLYATL3,2.02627522855266,0.0215928783499422,9.59747233327982,0.0019484539962277,0.0125426714551407
50,PLCXD3,2.01722371770412,1.36873448055559,112.070607768941,3.44809011459394e-26,4.31493996940286e-23
51,TTN,-2.01634655431206,4.99567216863444,39.8383497280392,2.75874827504795e-10,2.3974288829132e-08
52,SCGB3A1,-1.89621495872423,2.1929470803229,30.8779440794433,2.74776915125424e-08,1.31016111182238e-06
53,MYOM1,-1.88897390173999,3.85262993463326,41.0571571117238,1.47841791676322e-10,1.46832712780753e-08
54,ACTC1,-1.83991260725762,4.1249567050475,31.0414738760063,2.52573370759796e-08,1.25424728638416e-06
55,NOTUM,1.81859344314697,0.941708897278092,49.670186795121,1.81888938038887e-12,3.07588941975491e-10
56,CLDN10,-1.8053279505572,1.46252204874904,29.3099003966533,6.16797527521722e-08,2.60763657412393e-06
57,WFDC5,1.75718900161661,1.23666703239295,27.1280015368075,1.90419710500542e-07,6.69357375619041e-06
58,CPLX2,1.74347650004216,1.08799409880079,39.2711962223733,3.68842485432391e-10,3.07712990846729e-08
59,SEMG2,-1.72196084882948,4.32645836772684,7.70904305010458,0.00549448712337165,0.0275693712357148
60,SRL,-1.67911566161481,2.20846957681184,38.6648954200887,5.03177889646325e-10,3.9852962728064e-08
61,PLA2G4D,-1.66480180553523,2.75057320151197,18.8669883544694,1.40157268860073e-05,0.000248431736900134
62,TG,-1.661864858254,4.25103143537655,19.6414368351548,9.34210428823895e-06,0.000177131959186397
63,CST4,1.65595549519189,0.529755929385657,26.201774150742,3.07539851636226e-07,9.97034638180243e-06
64,CGA,1.64532272951955,2.51961345266151,20.3631091376822,6.40527734096071e-06,0.000131834935271024
65,SLC45A2,1.64521764553907,3.22103351137394,44.4202738375603,2.64929265672498e-11,3.12766493455249e-09
66,CCK,-1.60300107252062,3.00830884599974,21.9172520695276,2.84663246528297e-06,6.72127522085868e-05
67,REG4,1.59601408922531,4.15944321513518,35.4927109101779,2.56006785914597e-09,1.65137573140993e-07
68,RYR1,-1.5522813437839,2.96433637629914,35.1910166858922,2.98899160528102e-09,1.87021204742433e-07
69,MYOM2,-1.54712411657437,3.1512222953195,34.6136876208061,4.02069172011115e-09,2.41425361128455e-07
70,CACNA1S,1.54516333042294,0.890934529216541,8.1824284138188,0.00422980976332416,0.0227219216778506
71,OLFM4,-1.53970385811209,6.99556262338595,17.7762135339498,2.48470265291533e-05,0.000383871222204722
72,ADAM7,1.40116026112189,2.16171101578172,18.1791569832673,2.01067325551641e-05,0.000331006818225952
73,C1QTNF3,1.39720035790958,3.6730658273578,41.4992261479719,1.17917595794914e-10,1.20952524080127e-08
74,MYBL2,1.3715367824698,3.08811637287343,75.3842035389872,3.87477607379406e-18,3.03055923671618e-15
75,PAGE4,-1.34311650687835,4.03911961088434,29.1120813943465,6.83096776328352e-08,2.75750743837839e-06
76,LDB3,-1.31178758643088,4.74559827735361,32.3784501337243,1.2688582301503e-08,6.84417753969864e-07
77,TGM4,-1.29602685248376,8.71514679467867,7.02995342114741,0.00801574378582346,0.0361604245622908
78,KRT4,-1.2955239644918,2.46601417587846,15.7895629098953,7.07919478068735e-05,0.000900295157373186
79,SLC26A3,1.28420881450362,2.59098062854519,17.5811594110454,2.75302413028633e-05,0.00041972791152152
80,KLB,-1.28274827956731,2.23660037484158,15.9303803269626,6.57154027740878e-05,0.000847863600570499
81,MYH7B,1.28263022941396,1.94104997259033,37.0979086102502,1.12344150488873e-09,8.09800901764994e-08
82,CST1,1.27538456828201,5.79359527636667,11.7764423838693,0.000599850149035757,0.00488070530886441
83,MB,-1.2687912148974,6.24303679312933,28.5814370106561,8.98393228317703e-08,3.51327901848992e-06
84,SLC2A5,-1.2655700849736,3.82002618944926,25.1789335620352,5.22498344798073e-07,1.58702531233085e-05
85,CEACAM5,1.25950262010161,2.46321061250538,18.5138772072104,1.68671719342749e-05,0.000286010554993924
86,OPRK1,1.24077180290099,3.48819518144623,36.099564418628,1.8748874937716e-09,1.23486011037147e-07
87,DAB1,1.23109155595844,2.42548831964921,36.7630105875703,1.33397380374086e-09,9.17216932967756e-08
88,PYGM,-1.22279838637096,4.08995690707149,30.5977762183383,3.17457396357111e-08,1.47135624370847e-06
89,CYP4F2,1.19928528763063,2.74588468238636,12.1545045987773,0.000489694486325228,0.00416873251828156
90,EEF1A2,1.19657986429499,6.86177661510226,30.1332002543425,4.03366278294932e-08,1.81572863546143e-06
91,AKR1C1,1.19360083278923,2.36234677198618,46.4302603241333,9.49379668641947e-12,1.3200596859317e-09
92,ABCC11,1.18144299387446,4.07116524711623,17.7963616139324,2.45852926969129e-05,0.000380767763377683
93,KRT15,-1.17840588470648,6.96322415248674,17.8696734793912,2.36560939189017e-05,0.000369117654988948
94,PCDHGA5,1.17483150361246,3.05414190810151,36.5068819393449,1.52128189448056e-09,1.03463704497444e-07
95,HSPB6,-1.15294324304265,4.32034481339265,26.3774993339714,2.80792510772297e-07,9.19852743404325e-06
96,BIRC5,1.1136232080922,3.20781822570671,53.4797089092438,2.61277604404582e-13,5.83862132414096e-11
97,MUC4,-1.1117075078332,3.90129452664277,14.8081279263877,0.000119021413122481,0.0013740165717848
98,SUCNR1,1.10481925351443,1.78635502766907,11.7610467817731,0.000604832020718533,0.0049021165202537
99,BMP6,1.10272034828396,3.54729729396995,42.7390790819612,6.25501183073658e-11,6.86624719735417e-09
100,TDO2,1.09233923536933,3.43656116048487,8.10800306041995,0.0044070249331973,0.0233882570034059
101,CENPF,1.09079627899047,3.63214522584457,55.0641473680386,1.16659591035587e-13,2.91975624443867e-11
102,SERPINI1,1.08705920707263,3.8549100986629,40.9365948398838,1.57248911593545e-10,1.53735381225127e-08
103,CYP27A1,-1.08077510382162,5.8458992556333,27.8919214725291,1.28284259165576e-07,4.77782505713695e-06
104,MUC1,1.0755015992648,4.94606738683174,29.5028468253232,5.58346302152537e-08,2.40960725538704e-06
105,KRT5,-1.06647458133374,7.38576325971748,17.552945318374,2.79417640062533e-05,0.000421847571471912
106,CFD,-1.0624196808487,4.71157637260766,23.7149466933436,1.11711570366317e-06,3.13443630395536e-05
107,ETV5,1.05799935625411,4.11442189877161,30.1997259151124,3.89764545082442e-08,1.76721504244988e-06
108,AKR1C3,1.05151596706441,2.91650000348627,33.5226720407024,7.04381184278778e-09,4.04340648626818e-07
109,BMP5,-1.04894022617993,2.39200139777748,5.90468448543015,0.0151006702926319,0.059952343921953
110,CMYA5,-1.04475765248188,4.03586096184871,25.2298071383243,5.0889587972715e-07,1.56086348992783e-05
111,CYP4F8,1.03523132147787,4.64729760555444,12.2703058119876,0.000460222846914872,0.00397188186640876
112,FBXL16,1.03265359974198,3.18766613481439,27.5864703966104,1.50225894531115e-07,5.46490361675109e-06
113,CXCL13,-1.02864732639534,2.5709260503517,8.80494004610443,0.00300416015511917,0.0175018902146933
114,CST2,-1.0275044792308,4.25201197999308,7.53529545996946,0.00605018147368421,0.0293684914513903
115,SLC26A4,-1.02214791381316,4.82945773244141,15.889754342931,6.71412047720168e-05,0.000860865816103502
116,BANK1,1.02021750292998,5.49215517066806,24.6017955110253,7.04860279566709e-07,2.09250957264936e-05
117,STAC3,-1.0150207170936,3.03279844719745,16.2797176147699,5.46457527446245e-05,0.000735308548221754
118,MUC13,1.01414157499962,3.41556777161623,14.9529059550866,0.000110228164226432,0.00129156858345465
119,CASQ2,-1.01102244748389,2.58374526383869,17.8783904295157,2.35479836310308e-05,0.000369117654988948
120,FAT3,-1.00956278788157,2.56618089323483,19.7599466781668,8.78035391941725e-06,0.000169563810104302
121,ATP1A2,-1.00923652296121,5.06457380995576,22.3300826401298,2.29581825103815e-06,5.74597391869828e-05
122,UGT2B4,0.99974962957809,2.95708967967205,11.0088579576721,0.000906774985866392,0.00684401819851148
123,CDC42EP5,-0.998704275731509,5.23397782589385,21.6993657192294,3.18896705648291e-06,7.28225068336262e-05
124,SH2D1A,0.996600635665191,1.69971820035163,18.2017128569538,1.98700054435406e-05,0.000328038585910907
125,AK5,0.995950077200167,4.13363042285324,26.7899824243517,2.26810040754521e-07,7.88416902778354e-06
126,TPX2,0.99579979622204,3.49676474766031,49.6865312195973,1.80379974510925e-12,3.07588941975491e-10
127,CTHRC1,0.994137856043596,2.85170444380602,30.8665392388961,2.76396462778574e-08,1.31016111182238e-06
128,PTGS2,-0.991831680789708,5.44994759447017,19.8433762710687,8.40534799543897e-06,0.000164350820023318
129,AGT,-0.988493725506794,5.49084603341619,9.30637365816699,0.00228358025231216,0.0141749619431718
130,CYP4B1,-0.9879604297249,3.51619714478875,18.147705813829,2.04415544956767e-05,0.000333080225206899
131,TOP2A,0.981070977399318,4.34426227986077,39.918007268495,2.64850221794836e-10,2.33403920812716e-08
132,UBE2C,0.977255134700156,2.63513418390377,30.9629524145603,2.63001029788878e-08,1.28836979449431e-06
133,IQCN,0.975401293248441,3.3931608524873,45.7504632569834,1.34317584035253e-11,1.75088567355954e-09
134,SYT3,-0.969503482453577,1.95227824104923,8.77785685604692,0.0030490923036115,0.0176649727256455
135,FAM3D,-0.959534187774324,4.15396740250562,17.8032392502564,2.44965843689458e-05,0.000380335306194774
136,STC2,0.956043907453035,3.77262068023623,48.0942325457385,4.06219597682624e-12,6.35429005675044e-10
137,TP63,-0.945132974726669,4.73041413822671,15.7623766113754,7.1816555507412e-05,0.000907790278403792
138,ADGRF1,-0.93893252915656,4.69561339575201,8.80982297196704,0.00299613102800487,0.0174713810272381
139,SLC14A1,-0.932356408018674,5.85334023020848,16.1850409941292,5.74459675682248e-05,0.0007615241929542
140,PEBP4,-0.926987701201168,5.11858786206632,13.9915844414703,0.000183630695519663,0.00197758564865152
141,SYT4,0.925942065116726,2.33056067462855,8.11992787518238,0.00437813006309048,0.0232941835074465
142,PGM5,-0.92547166423144,7.02134162507655,24.4859211296141,7.48548157726744e-07,2.19890414220481e-05
143,ORM1,0.924080890410794,7.18784315478304,3.74920425116352,0.0528326579269371,0.151361694436285
144,TNS4,-0.91977802738012,4.925630163754,13.2690056932488,0.000269830281798565,0.00267601102313061
145,ENO3,-0.91871420356735,3.19846309613607,14.5661472407941,0.000135323957626181,0.00152014722238244
146,LAMB3,-0.917860983988293,5.69382835076859,17.6660076914339,2.63290006131864e-05,0.000404767952915743
147,MON1B,0.915889576257887,7.69310703999911,28.8321409365517,7.89303462089298e-08,3.14565080400811e-06
148,TPM2,-0.91499638718258,9.4667912055861,21.9911193879162,2.73914942072673e-06,6.54083463125804e-05
149,CPNE7,0.914033463469831,3.36429244384649,21.8876278323922,2.89091790326438e-06,6.74943034355418e-05
150,CDK1,0.912990283270403,3.26475011238062,38.3054664205009,6.04929521085335e-10,4.65919722136806e-08
151,UCHL1,0.910365133777875,3.10787282508257,32.6163559594412,1.1226600705716e-08,6.2163575766075e-07
152,NNAT,-0.909982332848006,2.07740535605973,7.34022278909231,0.00674284820111129,0.0319621221169344
153,RRM2,0.908361594596028,3.41492459072438,36.362892171791,1.6379217396536e-09,1.10198670161426e-07
154,HSPB7,-0.90023025733999,4.57721360573466,19.5696674400104,9.69970149657257e-06,0.000182255352144308
155,MT1M,-0.894263078560144,4.29652486653613,13.0444767493065,0.000304180130842033,0.00290130347359543
156,COX7A1,-0.89420005991004,3.84632168187863,20.4992900395231,5.96533736463276e-06,0.000124445085886745
157,MKI67,0.893830160693469,4.40676669421363,43.8742988716565,3.501568427425e-11,4.0572803056293e-09
158,PI16,-0.893786278170747,3.63596040525664,9.06938806328878,0.00259924037835192,0.0157438984001432
159,DKK1,-0.891110178433904,2.41863047003164,12.2557713019446,0.000463821397048992,0.00399192638423046
160,BST2,0.889705748222112,5.80084592679508,29.1592879185209,6.66653939434915e-08,2.7344241174032e-06
161,TRIM29,-0.889397652344884,6.11588482764141,14.7336053840875,0.000123819528307112,0.00142153906168367
162,DUOX2,-0.88662684974792,2.13670935544653,10.7566570169188,0.00103904895764674,0.00766666194339114
163,SLC7A5,0.884034180007879,4.08892080909544,36.9415552813491,1.21723759040727e-09,8.65483591270261e-08
164,FHL1,-0.879373864470351,7.4822547032027,21.6676322665206,3.24216020970927e-06,7.32353661810502e-05
165,SCG2,0.87342934341166,2.88471968447289,17.1002393587336,3.54578358569951e-05,0.000512378011448541
166,PHYHD1,-0.872346465045291,4.7044309010758,16.610412153594,4.58983510011883e-05,0.000635367217288574
167,MS4A1,-0.871674607858757,1.68604871716606,6.64078490725706,0.00996700117707013,0.0431283031569349
168,CPB1,0.869568243180302,3.11150242419387,11.8181291423937,0.000586567691004757,0.00477884640965724
169,FCGBP,-0.866192639306323,4.97012551087927,13.0327607172518,0.000306088996951322,0.00290467656122465
170,KLK14,0.866037198289521,2.97435339412925,9.44367887158626,0.00211878065400148,0.0133776090333878
171,FMOD,-0.864483417804341,8.14617220405503,21.9963092070226,2.73175270798993e-06,6.54083463125804e-05
172,SI,0.859245930281975,3.38285594707848,10.2044219021342,0.00140104304713893,0.00959127756108803
173,LOXL4,0.856057251058167,4.32465940307333,39.4422727611612,3.37902218062954e-10,2.85710024110798e-08
174,HSPB8,-0.853896818972902,6.37174805378684,22.0915394507925,2.59952935705582e-06,6.32713978627199e-05
175,KRT7,-0.850926736983056,5.34897477761815,12.1575904647444,0.00048888494541924,0.00416751104017464
176,TACC3,0.848653495915525,3.93162661362038,51.4051740753574,7.51402409630997e-13,1.46922652408161e-10
177,FABP3,-0.846191335302695,3.97801750191458,24.4643507000665,7.56975688653653e-07,2.20297529483996e-05
178,PRDM8,-0.845513725601294,4.44398760401015,15.8776949844456,6.757039700899e-05,0.00086283260017398
179,MYL9,-0.841907934772883,10.0577935995808,21.3155813335414,3.89552291839022e-06,8.64336414906652e-05
180,SLCO1A2,0.840393491685194,3.07383987764934,8.92014402667917,0.00282042268702968,0.0166641971225163
181,BPIFB2,-0.839152515831154,3.72262639682668,10.5167755437548,0.00118295715107135,0.00850008373022283
182,DES,-0.838890586261612,10.2428151841895,17.9016298258773,2.32621811364123e-05,0.000368484727520333
183,COL17A1,-0.830682669845951,4.67218360972891,13.7174989796836,0.000212465607447102,0.00221197555041018
184,CRYAB,-0.824140470267166,5.96917703915027,17.4133503228527,3.00706474748276e-05,0.00044798105059523
185,COL9A1,-0.823166276206982,2.45339841120915,8.37326041435563,0.00380781864506144,0.0209916486891185
186,MSMB,-0.819680861307882,10.8228448714492,10.5736202849017,0.00114712852586568,0.00830738794715457
187,WFDC2,-0.817890395956714,5.35435180074836,13.2703218182226,0.00026964091389426,0.00267601102313061
188,GABRP,-0.81596433351941,3.97025695669468,10.6024209821967,0.00112939680961502,0.00819795340807559
189,HES6,0.815480071855076,3.24471237845854,24.0758530185589,9.26144123520556e-07,2.62824663252603e-05
190,TFCP2L1,-0.814961463590146,5.12110899332671,16.1057213136961,5.99027925213173e-05,0.00078741969076866
191,FAM107A,-0.814689175751839,5.40240014647163,26.5572572733016,2.55841832761066e-07,8.70001275861951e-06
192,NHSL1,0.811717190526636,3.14742461068881,36.8609717215374,1.26860165370482e-09,8.91869724407983e-08
193,RRAD,-0.811017353718836,3.16909648942823,12.9868961759867,0.000313678513816752,0.00296478317364262
194,SMOC1,-0.809330204429152,4.79032202015022,14.6901909672472,0.000126704033920156,0.00144726250271464
195,GLP1R,-0.807890528911421,1.56229597094574,4.50065741149433,0.0338818251187387,0.108521229347581
196,DEPDC1,0.804137881477687,2.29850532306477,17.0792505665462,3.58518764844799e-05,0.000515690094628484
197,PEG10,0.802390428860636,3.09297679943838,13.2114175474051,0.000278248841601931,0.00272098138815022
198,GPX3,-0.800330780368637,6.30356539807845,25.2830190573861,4.9504789375541e-07,1.52586929617123e-05
199,C15orf48,-0.799055625345154,4.2101103663208,8.20622158201377,0.00417469930993662,0.0225181841226495
200,PDIA2,0.797114086545403,2.24441635577939,7.28381592374501,0.0069578577137178,0.0324890415781584
201,VSIG2,-0.796310828126935,5.23068485062624,10.2620459912727,0.00135794996488768,0.00934729695302774
202,ACTG2,-0.79542877494184,10.0512186345391,17.0943316333482,3.55683043903422e-05,0.000512790047397168
203,TBX10,0.79470941204303,1.7503583449647,6.30130675093756,0.012064900304259,0.0501928731407901
204,CNN1,-0.791601351174212,8.80806900119444,19.3622868158336,1.0812132233956e-05,0.000200152400555807
205,UNC5A,0.790362426899735,4.10996286430757,7.49989333091185,0.00617026476959252,0.029835662027311
206,ST18,0.78967296402491,1.20525679254306,9.92749600419859,0.00162827892686526,0.0108308504017661
207,JPH2,-0.787422245672124,5.26458460260549,20.8037564343026,5.08830640312174e-06,0.000109032647823057
208,EPPK1,0.785421204712743,4.15999770108178,21.0439486626085,4.48868236697903e-06,9.82016977978593e-05
209,FLNC,-0.782501490971392,7.92844462827613,17.9732888470601,2.24026597149686e-05,0.000357585310807548
